anio,mes,archivo,hoja,fila_excel_aprox,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
0,0,FP-1356-my2026.XLS,Fondo3xIntru,41,,,Fondo de Inversión Tradicional,72354.158412,1.2357847844346803,19112.823,0.5463259319554017,148.69889899999998,0.00469238147713143,0,0,91615.680311,0.5667064376930744
0,0,FP-1356-my2026.XLS,Fondo3xIntru,42,,,Fondo de Inversión Alternativo,0,0,67632.203576,1.9332165975092037,31385.013264,0.9903937143442997,34606.466168,0.9496702380311867,133623.683008,0.8265550300105142
0,0,FP-1356-my2026.XLS,Fondo3xIntru,43,,5. Sociedades Titulizadoras,,363.579866,0.0062098222989638435,0,0,0,0,106853.59269,2.932275035300558,107217.172555,0.6632124731477039
0,0,FP-1356-my2026.XLS,Fondo3xIntru,44,,,Bonos de Titulización 3/,363.579866,0.0062098222989638435,0,0,0,0,25.548616,0.0007011048201310638,389.12848199999996,0.0024070291798363288
0,0,FP-1356-my2026.XLS,Fondo3xIntru,45,,,Titulos con Derecho de Participación,0,0,0,0,0,0,106828.044074,2.9315739304804267,106828.044074,0.6608054439740534
0,0,FP-1356-my2026.XLS,Fondo3xIntru,46,,,Papel Comercial,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,47,,,Papel Comercial TIT,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,48,II. INVERSIONES EN EL EXTERIOR,,,3320911.700975,56.72005922793453,2158775.596564,61.707006321117795,1756518.508944,55.42915899873169,2175093.022657,59.68887717511851,9411298.829139,58.21540172404303
0,0,FP-1356-my2026.XLS,Fondo3xIntru,49,,1. Gobierno,,0,0,0,0,3455.112727,0.10903044387420695,122288.887561,3.355850215819236,125744.000288,0.777813734751402
0,0,FP-1356-my2026.XLS,Fondo3xIntru,50,,,Títulos de Deuda,0,0,0,0,3455.112727,0.10903044387420695,122288.887561,3.355850215819236,125744.000288,0.777813734751402
0,0,FP-1356-my2026.XLS,Fondo3xIntru,51,,2. Sistema Financiero,,122.283014,0.002088552909917481,32419.013231,0.9266735540061546,82060.302352,2.5895164345791795,6629.695351,0.18193202193757207,121231.293949,0.7498995204482574
0,0,FP-1356-my2026.XLS,Fondo3xIntru,52,,,Bonos del Sistema Financiero,0,0,0,0,17882.255827,0.5642971573847388,0,0,17882.255827,0.11061413792087114
0,0,FP-1356-my2026.XLS,Fondo3xIntru,53,,,Títulos de Deuda Emitidos por Organismo Internacional,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,54,,,Certificados y Depósitos a Plazo  2/ 4/,122.283014,0.002088552909917481,32419.013231,0.9266735540061546,64178.046526,2.025219277225997,6629.695351,0.18193202193757207,103349.038122,0.6392853825273863
0,0,FP-1356-my2026.XLS,Fondo3xIntru,55,,,Fondos Mutuos,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,56,,,Acciones y Valores representativos sobre Acciones,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,57,,3. Empresas no Financieras,,14823.398641,0.2531786824172275,21318.3286,0.6093686809178578,0,0,0,0,36141.727241,0.22356161551487908
0,0,FP-1356-my2026.XLS,Fondo3xIntru,58,,,Bonos Corporativos,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,59,,,Bonos Corporativos Coemitidos,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,60,,,Depósitos del Extranjero,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,61,,,Acciones y Valores representativos sobre Acciones,14823.398641,0.2531786824172275,21318.3286,0.6093686809178578,0,0,0,0,36141.727241,0.22356161551487908
0,0,FP-1356-my2026.XLS,Fondo3xIntru,62,,4. Administradoras de Fondos,,3305966.019319,56.464791992590314,2105038.254733,60.17096408619378,1671003.093864,52.73061212024675,2046174.439746,56.15109493738915,9128181.807661,56.4641268533285
0,0,FP-1356-my2026.XLS,Fondo3xIntru,63,,,Fondos Mutuos Alternativos del Extranjero,555746.209487,9.491959063093455,446729.450279,12.769431457383295,228180.83106,7.20053418218248,378361.942784,10.383003988944692,1609018.43361,9.952893452280916
0,0,FP-1356-my2026.XLS,Fondo3xIntru,64,,,Fondos Mutuos del Extranjero,2750219.809832,46.97283292949685,1658308.804454,47.401532628810486,1442822.262804,45.53007793806427,1667812.496961,45.76809094841702,7519163.374052,46.511233401053765
0,0,FP-1356-my2026.XLS,Fondo3xIntru,65,,,Fondos de inversión,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,66,,5. Sociedades Titulizadoras,,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,67,,,Bonos de Titulización,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-my2026.XLS,Fondo3xIntru,68,III. OPERACIONES EN TRÁNSITO,,,61054.478638,1.0427900396934082,-26362.687452,-0.7535579537916964,-39758.119912,-1.2546176649272913,-3893.654744,-0.10684962774283285,-8959.98347,-0.0554237036371477
0,0,FP-1356-my2026.XLS,Fondo3xIntru,69,TOTAL,,,5854915.78496,100,3498428.663562,100,3168943.099036,100,3644050.827553,100,16166338.375111,100
0,0,FP-1356-my2026.XLS,Fondo3xIntru,70,,,Fondo de Pensiones,5789281.743791,98.87899256659509,3449840.614084,98.61114648458977,3130659.936231,98.79192646858677,3557520.738821,97.6254423215577,15927303.032926,98.52140084762169
0,0,FP-1356-my2026.XLS,Fondo3xIntru,71,,,Encaje Legal,65634.04117,1.1210074334220061,48588.049478,1.388853515410231,38283.162805,1.208073531413228,86530.088732,2.374557678442302,239035.342185,1.4785991523783055
0,0,FP-1356-my2026.XLS,Fondo3xIntru,72,1/  Incluye Depósitos Overnight y Certificados de Depóstito con Negociación Restringida del BCRP,,,,,,,,,,,,
0,0,FP-1356-my2026.XLS,Fondo3xIntru,73,2/  Incluye Cuenta Corriente.,,,,,,,,,,,,
0,0,FP-1356-my2026.XLS,Fondo3xIntru,74,3/ Incluye Bonos de Titulización Hipotecarios.,,,,,,,,,,,,
0,0,FP-1356-my2026.XLS,Fondo3xIntru,75,4/ Incluye transferencias para liquidar Operaciones en Tránsito generadas por Inversiones en el Exterior.,,,,,,,,,,,,
