factor,indice,pais_region,ticker_elegido,moneda_local,moneda_modelo,transformacion,fx_ticker,fx_modo
ret_IDX_PEN_CHINA_SHANGHAI_COMPOSITE,Shanghai Composite,China,000001.SS,CNY,PEN,indice_local_convertido_a_PEN,CNY=X,INVERSO
ret_IDX_LOCAL_CHINA_CSI_300,CSI 300,China,000300.SS,CNY,CNY,retorno_indice_moneda_local,CNY=X,INVERSO
ret_IDX_PEN_CHINA_CSI_300,CSI 300,China,000300.SS,CNY,PEN,indice_local_convertido_a_PEN,CNY=X,INVERSO
ret_IDX_LOCAL_CHINA_SHENZHEN_COMPONENT,Shenzhen Component,China,399001.SZ,CNY,CNY,retorno_indice_moneda_local,CNY=X,INVERSO
ret_IDX_PEN_CHINA_SHENZHEN_COMPONENT,Shenzhen Component,China,399001.SZ,CNY,PEN,indice_local_convertido_a_PEN,CNY=X,INVERSO
ret_IDX_LOCAL_INDIA_NIFTY_50,Nifty 50,India,^NSEI,INR,INR,retorno_indice_moneda_local,INR=X,INVERSO
ret_IDX_PEN_INDIA_NIFTY_50,Nifty 50,India,^NSEI,INR,PEN,indice_local_convertido_a_PEN,INR=X,INVERSO
ret_IDX_LOCAL_INDIA_BSE_SENSEX,BSE Sensex,India,^BSESN,INR,INR,retorno_indice_moneda_local,INR=X,INVERSO
ret_IDX_PEN_INDIA_BSE_SENSEX,BSE Sensex,India,^BSESN,INR,PEN,indice_local_convertido_a_PEN,INR=X,INVERSO
ret_IDX_LOCAL_COREA_DEL_SUR_KOSPI,KOSPI,Corea del Sur,^KS11,KRW,KRW,retorno_indice_moneda_local,KRW=X,INVERSO
ret_IDX_PEN_COREA_DEL_SUR_KOSPI,KOSPI,Corea del Sur,^KS11,KRW,PEN,indice_local_convertido_a_PEN,KRW=X,INVERSO
ret_IDX_LOCAL_TAIW_N_TAIEX,TAIEX,Taiwán,^TWII,TWD,TWD,retorno_indice_moneda_local,TWD=X,INVERSO
ret_IDX_PEN_TAIW_N_TAIEX,TAIEX,Taiwán,^TWII,TWD,PEN,indice_local_convertido_a_PEN,TWD=X,INVERSO
ret_IDX_LOCAL_CANAD_S_P_TSX_COMPOSITE,S&P/TSX Composite,Canadá,^GSPTSE,CAD,CAD,retorno_indice_moneda_local,CAD=X,INVERSO
ret_IDX_PEN_CANAD_S_P_TSX_COMPOSITE,S&P/TSX Composite,Canadá,^GSPTSE,CAD,PEN,indice_local_convertido_a_PEN,CAD=X,INVERSO
ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200,S&P/ASX 200,Australia,^AXJO,AUD,AUD,retorno_indice_moneda_local,AUDUSD=X,DIRECTO
ret_IDX_PEN_AUSTRALIA_S_P_ASX_200,S&P/ASX 200,Australia,^AXJO,AUD,PEN,indice_local_convertido_a_PEN,AUDUSD=X,DIRECTO
ret_IDX_LOCAL_BRASIL_BOVESPA,Bovespa,Brasil,^BVSP,BRL,BRL,retorno_indice_moneda_local,BRL=X,INVERSO
ret_IDX_PEN_BRASIL_BOVESPA,Bovespa,Brasil,^BVSP,BRL,PEN,indice_local_convertido_a_PEN,BRL=X,INVERSO
ret_IDX_LOCAL_M_XICO_S_P_BMV_IPC,S&P/BMV IPC,México,^MXX,MXN,MXN,retorno_indice_moneda_local,MXN=X,INVERSO
ret_IDX_PEN_M_XICO_S_P_BMV_IPC,S&P/BMV IPC,México,^MXX,MXN,PEN,indice_local_convertido_a_PEN,MXN=X,INVERSO
ret_IDX_LOCAL_ARGENTINA_S_P_MERVAL,S&P MERVAL,Argentina,^MERV,ARS,ARS,retorno_indice_moneda_local,ARS=X,INVERSO
ret_IDX_PEN_ARGENTINA_S_P_MERVAL,S&P MERVAL,Argentina,^MERV,ARS,PEN,indice_local_convertido_a_PEN,ARS=X,INVERSO
